"Values","Count","Group","Name"
"System.Collections.ArrayList","40","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCApplications.tsx"
"System.Collections.ArrayList","38","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCSponsors.tsx"
"System.Collections.ArrayList","34","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCSiteSettings.tsx"
"System.Collections.ArrayList","33","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/ManageProjects.tsx"
"System.Collections.ArrayList","31","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/WriteBlog.tsx"
"System.Collections.ArrayList","30","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/EventDetail.tsx"
"System.Collections.ArrayList","27","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/MemberDirectory.tsx"
"System.Collections.ArrayList","27","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCMessages.tsx"
"System.Collections.ArrayList","25","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCRecruitment.tsx"
"System.Collections.ArrayList","25","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCOpportunities.tsx"
"System.Collections.ArrayList","25","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/ManageOpportunities.tsx"
"System.Collections.ArrayList","25","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCResources.tsx"
"System.Collections.ArrayList","24","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCPermissions.tsx"
"System.Collections.ArrayList","19","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/ProjectDetail.tsx"
"System.Collections.ArrayList","18","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/About.tsx"
"System.Collections.ArrayList","17","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCAnalytics.tsx"
"System.Collections.ArrayList","14","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Resources.tsx"
"System.Collections.ArrayList","14","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/Dashboard.tsx"
"System.Collections.ArrayList","13","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCMembers.tsx"
"System.Collections.ArrayList","13","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/Gallery.tsx"
"System.Collections.ArrayList","13","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCAnnouncements.tsx"
"System.Collections.ArrayList","11","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Gallery.tsx"
"System.Collections.ArrayList","10","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Opportunities.tsx"
"System.Collections.ArrayList","9","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Team.tsx"
"System.Collections.ArrayList","8","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/Notices.tsx"
"System.Collections.ArrayList","8","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/Apply.tsx"
"System.Collections.ArrayList","7","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/OCProtectedRoute.test.tsx"
"System.Collections.ArrayList","7","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Contact.tsx"
"System.Collections.ArrayList","6","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/member/MyEvents.tsx"
"System.Collections.ArrayList","6","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/layout/MemberSidebar.tsx"
"System.Collections.ArrayList","6","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/Signup.tsx"
"System.Collections.ArrayList","4","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/Login.test.tsx"
"System.Collections.ArrayList","3","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/ResourceCard.tsx"
"System.Collections.ArrayList","2","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Home.tsx"
"System.Collections.ArrayList","2","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/layout/OCSidebar.tsx"
"System.Collections.ArrayList","2","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/OpportunityItem.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/Login.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Projects.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/layout/Footer.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCBlogPosts.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/ForgotPassword.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/BlogPost.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/ProjectCard.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/TeamMemberCard.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Events.tsx"
